iter	RMSE
408	34.32374367
409	34.31584361
410	34.20748989
411	34.18609923
412	34.14523263
413	34.09853651
414	34.07430141
415	34.04880681
416	34.04039589
417	33.99797916
418	33.95610194
419	33.93328564
420	33.86619186
421	33.82696453
422	33.80496924
423	33.73421164
424	33.70317617
425	33.66945977
426	33.62242618
427	33.6101324
428	33.60289702
429	33.54796924
430	33.49595525
431	33.44756303
432	33.41572618
433	33.40744777
434	33.38918878
435	33.36843232
436	33.33146079
437	33.2975758
438	33.2427201
439	33.19853526
440	33.14096895
441	33.09418442
442	33.05450803
443	33.03037775
444	32.98495507
445	32.89402165
446	32.85402806
447	32.81053836
448	32.73547447
449	32.66971703
450	32.6287603
451	32.5955981
452	32.57109471
453	32.53410504
454	32.49701263
455	32.45689514
456	32.42409384
457	32.39853349
458	32.33536588
459	32.29585444
460	32.12488249
461	32.07475385
462	32.05188728
463	31.99438861
464	31.9482306
465	31.89550939
466	31.85316767
467	31.81909735
468	31.78240454
469	31.75730431
470	31.71051465
471	31.67343135
472	31.61149059
473	31.58799022
474	31.5394632
475	31.50442741
476	31.48796438
477	31.43035064
478	31.40431181
479	31.37803394
480	31.34276672
481	31.32034113
482	31.29356944
483	31.27091824
484	31.24155587
485	31.22225792
486	31.20290373
487	31.15456346
488	31.13075287
489	31.11200658
490	31.09262831
491	31.06493699
492	31.0500308
493	31.01355397
494	30.98791418
495	30.96513255
496	30.93565405
497	30.89971678
498	30.8887495
499	30.85395902
500	30.79927652
501	30.76715952
502	30.71458849
503	30.66552415
504	30.65939621
505	30.64492825
506	30.6281862
507	30.59596998
508	30.58849671
509	30.55371658
510	30.49301059
511	30.4582424
512	30.42466683
513	30.4155697
514	30.39908337
515	30.34958006
516	30.3184581
517	30.25181154
518	30.20658352
519	30.19061314
520	30.16461831
521	30.14099508
522	30.12774796
523	30.09224603
524	30.05648217
525	30.03468918
526	30.02252793
527	30.00039605
528	29.99114463
529	29.9661636
530	29.95098382
531	29.89887349
532	29.86481093
533	29.84157574
534	29.81351448
535	29.80743279
536	29.79672411
537	29.77897749
538	29.74814086
539	29.71973126
540	29.69047457
541	29.68030838
542	29.65918329
543	29.62103638
544	29.60363141
545	29.57374549
546	29.53661564
547	29.46057143
548	29.41531277
549	29.40667916
550	29.39636324
551	29.27219602
552	29.26069781
553	29.25390115
554	29.19933265
555	29.16452781
556	29.14097682
557	29.11868497
558	29.10511553
559	29.08726889
560	29.07543892
561	29.05372024
562	29.02757232
563	29.00382435
564	28.95533574
565	28.91473911
566	28.89637765
567	28.88436502
568	28.85270582
569	28.84036224
570	28.81393211
571	28.79569126
572	28.77343005
573	28.75313748
574	28.7333731
575	28.72409403
576	28.68005304
577	28.65176193
578	28.63767712
579	28.52210103
580	28.49566245
581	28.49181837
582	28.4759822
583	28.46397102
584	28.44748463
585	28.43393915
586	28.42169013
587	28.4131242
588	28.38964142
589	28.3642323
590	28.31721655
591	28.30672751
592	28.29905234
593	28.28497883
594	28.27162667
595	28.2549611
596	28.24037036
597	28.23272377
598	28.22679527
599	28.2004902
600	28.16505117
601	28.12927575
602	28.0986828
603	28.05724066
604	28.02588159
605	28.00737397
606	27.98811085
607	27.9579077
608	27.9377709
609	27.92971618
610	27.89168511
611	27.86929283
612	27.86332983
613	27.82085371
614	27.80465616
615	27.76380797
616	27.75388563
617	27.71043552
618	27.68451846
619	27.65089782
620	27.61715854
621	27.60445866
622	27.58553441
623	27.58145934
624	27.5740408
625	27.5402147
626	27.51933274
627	27.48775923
628	27.47099293
629	27.45821067
630	27.42094454
631	27.41184927
632	27.40446476
633	27.38864042
634	27.38014602
635	27.3531635
636	27.34311578
637	27.32614939
638	27.30929854
639	27.29575217
640	27.28580735
641	27.2773601
642	27.26854313
643	27.2592212
644	27.25334837
645	27.22759034
646	27.18525229
647	27.16674106
648	27.15372614
649	27.1424744
650	27.13382297
651	27.092863
652	27.05792216
653	27.03354976
654	27.01492328
655	26.99528847
656	26.98799826
657	26.97899648
658	26.95411657
659	26.92025427
660	26.91063513
661	26.89137336
662	26.8836816
663	26.86900805
664	26.84502559
665	26.83222369
666	26.79559217
667	26.77651513
668	26.7623858
669	26.74173093
670	26.72664408
671	26.69979525
672	26.66940154
673	26.66445693
674	26.65698417
675	26.64951568
676	26.62938355
677	26.62487878
678	26.61090192
679	26.59412933
680	26.58064812
681	26.54472547
682	26.53183403
683	26.51976986
684	26.50706965
685	26.49526489
686	26.46202639
687	26.45807341
688	26.44754925
689	26.42363562
690	26.40040171
691	26.37472315
692	26.36039428
693	26.34545144
694	26.30703483
695	26.29786777
696	26.26643915
697	26.26254262
698	26.25066065
699	26.2483825
700	26.23898213
701	26.21115588
702	26.20311082
703	26.18884911
704	26.15089078
705	26.14730589
706	26.12315219
707	26.11066537
708	26.09811593
709	26.09159137
710	26.08543124
711	26.05415742
712	26.04561246
713	26.0285038
714	26.02145218
715	26.01107829
716	26.00258922
717	25.98496878
718	25.97260511
719	25.96483323
720	25.95783244
721	25.94385677
722	25.91156335
723	25.90537865
724	25.87715552
725	25.85226922
726	25.82819518
727	25.8206214
728	25.81210703
729	25.7931349
730	25.78704231
731	25.77920931
732	25.75747687
733	25.75222354
734	25.71943777
735	25.69101876
736	25.67930829
737	25.67591501
738	25.64613777
739	25.62592764
740	25.61174653
741	25.59920714
742	25.58914138
743	25.58494044
744	25.56998018
745	25.56721806
746	25.56053632
747	25.54868505
748	25.537267
749	25.53081785
750	25.52521829
751	25.51505216
752	25.50556315
753	25.50354185
754	25.49690333
755	25.46922086
756	25.46083944
757	25.43684581
758	25.40999266
759	25.40121638
760	25.39922768
761	25.3941353
762	25.36779085
763	25.33475185
764	25.32990372
765	25.32376464
766	25.29218551
767	25.26484654
768	25.24468309
769	25.23782673
770	25.23137778
771	25.22822701
772	25.22106352
773	25.19407261
774	25.17982606
775	25.17397376
776	25.16539072
777	25.16134847
778	25.14237744
779	25.13957482
780	25.12426462
781	25.11908034
782	25.11038961
783	25.0863895
784	25.07082145
785	25.05961801
786	25.05193391
787	25.04574457
788	25.0287906
789	25.02396222
790	25.01692645
791	25.01374621
792	25.01055743
793	24.99128423
794	24.98346945
795	24.96781749
796	24.96398785
797	24.95043633
798	24.92685054
799	24.91505782
800	24.90240312
801	24.89093003
802	24.87321814
803	24.85923752
804	24.85531385
805	24.84380204
806	24.83850579
807	24.83280992
808	24.82651162
809	24.81678071
810	24.80853221
811	24.8008337
812	24.78587587
813	24.75644931
814	24.7529876
815	24.7340809
816	24.73137748
817	24.71886732
818	24.69835205
819	24.69421543
820	24.68612624
821	24.66792227
822	24.65932098
823	24.65482995
824	24.62323388
825	24.61936668
826	24.58030833
827	24.5666115
828	24.55180268
829	24.53117517
830	24.51888551
831	24.51146706
832	24.50507345
833	24.41182993
834	24.38764658
835	24.38255882
836	24.37374834
837	24.36694267
838	24.34648819
839	24.32650267
840	24.32193718
841	24.31809066
842	24.28305136
843	24.27705588
844	24.25282644
845	24.23931661
846	24.22529055
847	24.20702757
848	24.18375914
849	24.17728772
850	24.15717027
851	24.15248769
852	24.13590459
853	24.12036268
854	24.10813162
855	24.10056452
856	24.07305226
857	24.06766788
858	24.06346687
859	24.0579014
860	24.05159849
861	24.03941937
862	24.02914125
863	24.00102574
864	23.97715309
865	23.96229547
866	23.93636181
867	23.93133551
868	23.9236857
869	23.90335523
870	23.89581512
871	23.88490426
872	23.85799805
873	23.84043604
874	23.82227006
875	23.81050232
876	23.79334259
877	23.78621577
878	23.77688208
879	23.75282539
880	23.73864387
881	23.71515445
882	23.70135931
883	23.69139002
884	23.67929692
885	23.66436412
886	23.66042012
887	23.64709116
888	23.62187201
889	23.60976219
890	23.59807849
891	23.59241069
892	23.57529728
893	23.56055722
894	23.54664424
895	23.54278302
896	23.52966309
897	23.51993464
898	23.51617629
899	23.492716
900	23.48577691
901	23.46552629
902	23.45507333
903	23.44039289
904	23.42437479
905	23.42131957
906	23.41777574
907	23.41065671
908	23.39775464
909	23.38183779
910	23.37713417
911	23.37108864
912	23.35370886
913	23.34408217
914	23.32846967
915	23.32178567
916	23.3088535
917	23.30362124
918	23.29070048
919	23.28219265
920	23.23576327
921	23.22860259
922	23.22467929
923	23.21453225
924	23.20129648
925	23.18974427
926	23.18285554
927	23.17677145
928	23.1734583
929	23.17114664
930	23.16650529
931	23.12536041
932	23.11883562
933	23.09419621
934	23.08637494
935	23.07025012
936	23.05499651
937	23.03782921
938	23.03316367
939	23.02260616
940	22.99984154
941	22.9961749
942	22.97431128
943	22.96445293
944	22.95988499
945	22.93004445
946	22.92324493
947	22.88292855
948	22.87318676
949	22.85376497
950	22.84580179
951	22.83980337
952	22.81292807
953	22.79468941
954	22.79317339
955	22.78797231
956	22.77580552
957	22.76949878
958	22.75009373
959	22.74391589
960	22.72854835
961	22.71601499
962	22.71328993
963	22.70968242
964	22.70687214
965	22.69570627
966	22.68573264
967	22.68017769
968	22.6664423
969	22.66305145
970	22.65555176
971	22.65185466
972	22.64683312
973	22.6284598
974	22.6217462
975	22.59776155
976	22.5836663
977	22.57829147
978	22.57158941
979	22.56871972
980	22.55854639
981	22.5545801
982	22.5424903
983	22.53734679
984	22.5236548
985	22.50837881
986	22.50156757
987	22.49463447
988	22.49077498
989	22.47277287
990	22.46998347
991	22.46689256
992	22.46267589
993	22.45452839
994	22.44430612
995	22.42961567
996	22.41059296
997	22.4044266
998	22.3994507
999	22.39258295
