iter	Passed	Remaining
519	21719	20048
520	21750	19997
521	21804	19966
522	21835	19914
523	21864	19861
524	21896	19811
525	21926	19759
526	21968	19717
527	22002	19669
528	22033	19618
529	22061	19564
530	22111	19529
531	22140	19476
532	22167	19422
533	22199	19372
534	22230	19321
535	22276	19284
536	22304	19230
537	22345	19188
538	22382	19143
539	22439	19114
540	22483	19075
541	22519	19029
542	22553	18981
543	22600	18944
544	22630	18893
545	22660	18842
546	22691	18791
547	22721	18741
548	22768	18704
549	22797	18652
550	22826	18600
551	22859	18552
552	22888	18501
553	22931	18460
554	22974	18420
555	23017	18380
556	23071	18349
557	23105	18301
558	23138	18254
559	23171	18206
560	23222	18171
561	23258	18127
562	23292	18079
563	23323	18030
564	23353	17980
565	23423	17961
566	23468	17922
567	23507	17879
568	23577	17859
569	23637	17831
570	23676	17788
571	23715	17745
572	23754	17701
573	23821	17679
574	23865	17639
575	23903	17595
576	23963	17567
577	23998	17521
578	24028	17471
579	24069	17429
580	24129	17401
581	24169	17358
582	24214	17319
583	24262	17282
584	24307	17244
585	24351	17204
586	24396	17165
587	24435	17121
588	24497	17093
589	24539	17053
590	24586	17015
591	24616	16965
592	24664	16928
593	24697	16881
594	24749	16846
595	24809	16817
596	24846	16772
597	24891	16732
598	24926	16687
599	24983	16655
600	25024	16613
601	25077	16579
602	25143	16553
603	25191	16516
604	25237	16477
605	25270	16429
606	25318	16392
607	25363	16352
608	25403	16309
609	25441	16265
610	25512	16242
611	25548	16197
612	25583	16151
613	25619	16105
614	25696	16086
615	25750	16052
616	25796	16013
617	25834	15968
618	25892	15937
619	25929	15892
620	25965	15846
621	26033	15821
622	26083	15784
623	26122	15740
624	26165	15699
625	26217	15663
626	26256	15619
627	26312	15586
628	26365	15551
629	26448	15533
630	26491	15491
631	26525	15445
632	26557	15397
633	26611	15362
634	26655	15321
635	26699	15280
636	26742	15239
637	26798	15205
638	26829	15157
639	26860	15109
640	26908	15070
641	26970	15039
642	27012	14997
643	27050	14953
644	27086	14908
645	27135	14869
646	27169	14823
647	27209	14780
648	27250	14737
649	27313	14707
650	27351	14663
651	27390	14619
652	27426	14574
653	27474	14535
654	27517	14493
655	27556	14450
656	27609	14414
657	27660	14376
658	27708	14337
659	27742	14291
660	27774	14244
661	27828	14208
662	27862	14162
663	27896	14116
664	27936	14073
665	27995	14039
666	28035	13996
667	28064	13948
668	28090	13898
669	28156	13867
670	28195	13824
671	28239	13783
672	28302	13751
673	28338	13706
674	28370	13659
675	28399	13611
676	28438	13568
677	28502	13536
678	28538	13491
679	28580	13449
680	28617	13405
681	28675	13370
682	28703	13321
683	28737	13276
684	28780	13234
685	28836	13199
686	28877	13156
687	28910	13110
688	28950	13067
689	29015	13035
690	29050	12990
691	29091	12948
692	29126	12903
693	29192	12871
694	29233	12828
695	29266	12783
696	29314	12743
697	29348	12698
698	29384	12653
699	29418	12607
700	29477	12572
701	29517	12530
702	29552	12485
703	29587	12440
704	29615	12392
705	29663	12352
706	29710	12312
707	29746	12268
708	29782	12223
709	29842	12189
710	29880	12145
711	29921	12103
712	29953	12057
713	29987	12011
714	30043	11975
715	30076	11929
716	30111	11885
717	30147	11840
718	30195	11800
719	30231	11756
720	30263	11710
721	30302	11667
722	30342	11624
723	30401	11589
724	30438	11545
725	30479	11503
726	30516	11459
727	30568	11421
728	30599	11375
729	30638	11331
730	30673	11287
731	30734	11252
732	30777	11210
733	30810	11165
734	30843	11120
735	30893	11081
736	30934	11039
737	30968	10994
738	31010	10952
739	31085	10922
740	31131	10881
741	31165	10836
742	31192	10789
743	31246	10751
744	31284	10708
745	31318	10663
746	31354	10619
747	31421	10585
748	31456	10541
749	31486	10495
750	31514	10448
751	31568	10410
752	31604	10366
753	31645	10324
754	31697	10285
755	31760	10250
756	31790	10204
757	31821	10159
758	31855	10114
759	31938	10085
760	31978	10043
761	32017	10000
762	32055	9957
763	32103	9916
764	32132	9870
765	32163	9825
766	32202	9782
767	32266	9747
768	32309	9705
769	32347	9662
770	32378	9616
771	32420	9574
772	32451	9529
773	32491	9487
774	32533	9445
775	32593	9408
776	32630	9364
777	32663	9320
778	32696	9275
779	32739	9234
780	32769	9188
781	32809	9146
782	32844	9102
783	32881	9059
784	32947	9023
785	32980	8979
786	33011	8934
787	33039	8888
788	33084	8847
789	33124	8805
790	33157	8761
791	33190	8716
792	33246	8678
793	33283	8635
794	33313	8590
795	33343	8545
796	33369	8499
797	33409	8456
798	33471	8420
799	33511	8377
800	33552	8335
801	33588	8292
802	33637	8252
803	33669	8207
804	33695	8162
805	33730	8118
806	33802	8084
807	33849	8043
808	33899	8003
809	33931	7959
810	34018	7927
811	34175	7912
812	34347	7900
813	34514	7886
814	34636	7862
815	34722	7829
816	34775	7789
817	35019	7791
818	35172	7773
819	35248	7737
820	35287	7693
821	35328	7650
822	35368	7606
823	35404	7562
824	35465	7522
825	35502	7478
826	35535	7433
827	35567	7388
828	35595	7342
829	35646	7301
830	35687	7257
831	35727	7214
832	35761	7169
833	35821	7129
834	35858	7085
835	35884	7039
836	35913	6993
837	35960	6951
838	35999	6908
839	36049	6866
840	36100	6825
841	36135	6780
842	36173	6737
843	36206	6692
844	36234	6646
845	36284	6605
846	36326	6561
847	36367	6518
848	36407	6475
849	36466	6435
850	36502	6391
851	36537	6346
852	36577	6303
853	36635	6263
854	36684	6221
855	36723	6177
856	36767	6135
857	36830	6095
858	36861	6050
859	36895	6006
860	36925	5961
861	36997	5923
862	37039	5879
863	37082	5836
864	37142	5796
865	37176	5752
866	37212	5708
867	37246	5664
868	37311	5624
869	37362	5582
870	37400	5539
871	37445	5496
872	37502	5455
873	37536	5411
874	37569	5367
875	37613	5324
876	37679	5284
877	37721	5241
878	37762	5198
879	37821	5157
880	37858	5113
881	37900	5070
882	37930	5025
883	37974	4983
884	38021	4940
885	38076	4899
886	38115	4855
887	38183	4815
888	38218	4771
889	38264	4729
890	38338	4690
891	38394	4648
892	38440	4606
893	38500	4564
894	38544	4521
895	38581	4478
896	38614	4434
897	38646	4389
898	38701	4348
899	38739	4304
900	38775	4260
901	38819	4217
902	38874	4175
903	38910	4132
904	38941	4087
905	38978	4044
906	39015	4000
907	39074	3959
908	39113	3915
909	39153	3872
910	39210	3830
911	39243	3786
912	39277	3742
913	39320	3699
914	39384	3658
915	39425	3615
916	39470	3572
917	39502	3528
918	39550	3485
919	39583	3442
920	39617	3398
921	39663	3355
922	39721	3313
923	39759	3270
924	39801	3227
925	39839	3183
926	39889	3141
927	39923	3097
928	39961	3054
929	39998	3010
930	40056	2968
931	40099	2925
932	40134	2882
933	40189	2839
934	40222	2796
935	40258	2752
936	40299	2709
937	40381	2669
938	40416	2625
939	40459	2582
940	40497	2539
941	40548	2496
942	40599	2454
943	40649	2411
944	40686	2367
945	40749	2326
946	40784	2282
947	40819	2239
948	40852	2195
949	40902	2152
950	40938	2109
951	40980	2066
952	41016	2022
953	41076	1980
954	41113	1937
955	41163	1894
956	41231	1852
957	41277	1809
958	41319	1766
959	41379	1724
960	41430	1681
961	41468	1638
962	41497	1594
963	41524	1550
964	41581	1508
965	41620	1464
966	41661	1421
967	41702	1378
968	41761	1336
969	41796	1292
970	41828	1249
971	41853	1205
972	41882	1162
973	41949	1119
974	41987	1076
975	42155	1036
976	42189	993
977	42227	949
978	42263	906
979	42318	863
980	42359	820
981	42397	777
982	42434	733
983	42481	690
984	42512	647
985	42552	604
986	42594	561
987	42633	517
988	42697	474
989	42735	431
990	42767	388
991	42797	345
992	42842	302
993	42892	258
994	42933	215
995	42996	172
996	43034	129
997	43071	86
998	43100	43
999	43128	0
